learning_time,midterm_grade,attendance_rate,homework_completion,pass_fail
7,58,77,42,1
4,57,83,44,1
1,31,31,49,-1
8,78,93,32,-1
8,32,37,41,1
2,78,90,95,1
1,55,30,55,-1
7,82,86,70,-1
5,52,82,66,1
5,81,69,72,1
7,45,54,73,1
7,53,61,73,1
7,30,91,90,1
8,95,56,68,-1
3,72,47,50,1
3,62,76,87,1
5,71,49,90,1
6,65,81,44,1
5,42,49,84,1
7,39,63,37,1
5,87,96,94,1
5,77,97,55,1
3,63,65,33,1
8,57,36,50,1
8,68,64,42,1
6,61,61,93,1
1,91,86,31,1
1,34,33,57,-1
8,68,53,81,-1
2,66,42,40,-1
2,94,62,40,1
7,31,80,49,1
1,79,98,48,1
2,72,41,44,-1
2,98,75,90,1
3,89,32,79,1
8,53,31,83,1
5,51,57,99,1
6,76,76,92,1
1,47,48,67,-1
6,83,91,37,1
8,98,64,82,-1
5,58,33,85,1
5,49,65,55,1
6,44,78,78,1
8,90,38,84,-1
3,71,50,51,1
8,79,42,50,1
5,69,55,50,1
3,67,48,57,1
6,85,77,44,1
5,85,65,84,1
6,90,93,54,1
7,52,83,92,1
5,94,68,85,1
7,84,37,90,1
7,58,56,38,1
2,46,35,68,-1
6,73,38,72,1
4,45,40,51,1
2,61,39,41,-1
6,92,73,67,1
4,97,71,72,1
7,93,80,71,-1
6,98,94,88,-1
2,37,51,87,-1
3,39,52,64,1
7,76,41,98,1
5,83,62,94,1
8,79,66,63,-1
3,30,88,94,1
3,87,85,83,1
1,78,64,81,1
3,41,60,55,1
8,94,61,81,-1
7,66,82,77,-1
1,36,55,96,-1
2,51,72,75,1
6,90,78,39,1
2,97,31,39,1
3,84,96,42,1
8,42,44,77,1
7,73,57,82,1
7,61,80,96,-1
6,55,85,53,1
2,72,69,57,1
5,56,98,71,1
6,96,75,71,1
7,32,86,84,1
8,40,95,43,1
4,84,30,86,1
1,94,55,87,1
8,99,54,32,-1
4,54,83,78,1
1,82,97,84,1
1,76,96,86,1
7,95,68,56,-1
1,30,50,44,-1
8,99,88,74,-1
3,60,31,99,1
8,38,99,96,-1
6,51,69,56,1
4,88,85,35,1
7,63,50,94,1
4,38,41,54,1
3,30,46,98,1
7,77,30,90,1
6,93,56,65,1
6,63,56,32,1
1,46,49,59,-1
6,47,81,40,1
2,54,89,78,1
6,94,59,58,1
8,38,85,87,-1
5,86,66,47,1
3,73,89,40,1
7,77,94,36,-1
1,70,49,56,-1
6,81,58,60,1
6,52,40,71,1
5,80,68,61,1
1,97,51,80,1
4,77,77,89,1
1,86,93,92,1
8,65,74,51,-1
2,32,62,97,1
7,80,69,97,-1
3,35,63,61,1
1,69,45,40,-1
6,35,71,91,1
4,95,99,72,1
8,49,51,51,1
6,50,52,79,1
3,50,40,53,1
5,31,59,32,1
5,79,93,55,1
6,78,94,54,1
7,95,91,84,-1
5,44,60,90,1
5,63,93,75,1
5,82,54,52,1
6,60,70,62,1
3,61,47,43,1
7,95,49,73,1
2,58,49,62,1
8,30,91,86,-1
8,75,68,47,-1
5,43,45,64,1
3,71,34,73,1
1,81,35,48,-1
1,75,71,79,1
1,75,52,62,-1
2,66,84,30,1
8,80,34,35,1
5,84,68,50,1
6,90,49,78,1
1,80,50,97,1
2,38,45,94,-1
5,45,37,46,1
4,57,79,75,1
1,33,39,50,-1
4,90,34,59,1
3,93,64,77,1
2,53,48,52,-1
1,75,30,81,-1
1,88,60,52,1
4,83,76,63,1
1,80,88,63,1
6,48,49,66,1
3,90,43,73,1
7,57,58,83,1
2,41,87,60,1
4,37,37,30,1
5,48,50,51,1
2,70,71,48,1
3,32,89,52,1
3,94,98,83,1
1,48,30,62,-1
3,50,35,37,-1
1,64,51,54,-1
6,43,50,81,1
4,86,74,60,1
4,77,79,74,1
1,72,49,81,1
4,82,59,47,1
1,83,75,60,1
8,54,45,71,1
5,81,32,36,1
8,90,37,91,-1
4,40,42,75,1
6,31,46,49,1
7,83,70,92,-1
6,54,95,88,1
4,71,52,61,1
7,43,44,89,1
4,83,32,57,1
8,61,81,91,-1
6,99,64,32,1
1,43,48,59,-1
2,56,61,69,1
1,34,74,52,-1
8,77,90,81,-1
7,57,42,82,1
2,70,99,84,1
4,58,31,35,1
5,84,94,38,1
2,80,32,81,1
8,90,55,52,-1
1,50,54,66,-1
8,61,67,69,-1
5,39,43,70,1
4,37,32,58,1
7,49,97,96,-1
3,94,90,76,1
3,48,55,34,1
1,64,89,85,1
2,99,59,99,1
4,94,35,99,1
1,61,95,81,1
1,33,59,64,-1
2,43,48,48,-1
5,39,86,82,1
2,76,48,53,1
6,98,91,40,1
2,71,70,50,1
2,48,74,75,1
6,85,93,33,1
7,55,74,44,1
2,39,46,48,-1
8,85,46,35,1
3,86,35,84,1
2,96,71,61,1
6,72,59,56,1
5,71,45,72,1
2,35,65,97,1
8,40,38,33,1
4,72,73,82,1
2,61,67,54,1
6,67,45,51,1
3,57,49,96,1
5,92,32,61,1
2,83,95,72,1
6,77,70,46,1
8,40,30,84,1
1,61,62,61,-1
7,59,63,44,1
2,83,32,69,1
3,59,63,78,1
1,77,67,80,1
4,48,75,43,1
1,65,33,89,-1
5,78,77,81,1
3,41,99,60,1
4,45,73,68,1
6,96,78,35,1
3,48,76,65,1
6,82,34,33,1
7,74,77,54,1
3,53,83,55,1
4,30,66,54,1
3,67,53,55,1
4,98,98,38,1
4,66,69,33,1
6,40,50,49,1
1,36,98,36,-1
7,86,85,39,-1
7,71,72,44,1
7,75,53,82,1
8,65,53,80,1
4,51,66,44,1
6,71,97,93,-1
6,83,54,52,1
5,64,48,76,1
7,36,71,77,1
5,72,44,55,1
6,71,98,30,1
7,54,92,36,1
2,41,72,77,1
7,71,37,36,1
4,81,40,51,1
5,57,98,69,1
5,94,94,45,1
1,96,92,88,1
2,59,74,39,1
2,53,36,77,-1
7,64,99,82,-1
5,92,76,54,1
5,98,31,61,1
7,79,91,43,-1
2,48,84,65,1
5,68,91,53,1
5,45,47,39,1
4,66,67,58,1
1,87,42,70,1
1,87,99,52,1
5,34,50,55,1
2,30,47,65,-1
8,40,68,41,1
3,59,59,55,1
5,74,49,42,1
6,30,31,85,1
3,81,48,53,1
5,42,77,62,1
2,85,75,72,1
8,91,65,78,-1
4,71,93,76,1
6,39,48,70,1
7,67,31,46,1
5,91,90,30,1
4,88,83,65,1
6,95,55,36,1
8,31,85,79,1
5,63,95,78,1
3,44,41,90,1
3,91,36,86,1
7,41,91,94,1
8,73,64,77,-1
2,90,79,76,1
7,49,83,35,1
7,84,37,99,1
2,35,36,62,-1
4,51,33,78,1
2,85,81,62,1
1,89,96,50,1
6,95,76,81,-1
1,94,78,41,1
6,90,65,76,1
6,33,55,70,1
6,45,86,98,1
1,76,32,53,-1
3,92,93,37,1
4,61,65,94,1
7,82,94,37,-1
6,73,70,77,1
6,76,97,69,1
7,32,93,31,1
2,85,77,95,1
2,80,58,85,1
1,70,90,33,1
6,74,72,66,1
1,90,69,67,1
4,93,70,76,1
2,32,75,61,1
8,79,85,36,-1
8,66,50,42,1
3,96,87,48,1
8,88,52,72,-1
8,62,79,82,-1
7,86,39,86,1
4,71,48,60,1
2,40,95,96,1
2,73,77,81,1
7,43,83,92,1
4,42,42,86,1
3,63,83,44,1
1,75,76,76,1
5,91,93,73,1
3,64,41,83,1
8,91,79,69,-1
6,36,72,87,1
6,41,56,48,1
2,36,67,72,1
5,48,77,67,1
3,71,98,37,1
6,90,78,84,1
8,39,36,45,1
6,74,83,64,1
5,54,72,97,1
8,97,49,93,-1
8,46,97,57,-1
4,35,65,87,1
6,94,38,68,1
7,80,35,61,1
6,87,71,49,1
5,92,94,90,1
2,36,66,41,-1
8,30,47,40,1
4,47,69,66,1
3,58,92,34,1
8,69,65,92,-1
6,40,60,53,1
6,42,73,77,1
8,75,68,72,-1
7,58,64,97,1
6,65,35,94,1
3,39,86,64,1
4,67,49,40,1
6,38,47,46,1
7,97,33,83,1
1,45,87,78,1
1,71,48,81,-1
8,38,51,48,1
6,55,39,76,1
8,59,65,66,1
5,35,92,83,1
3,44,76,88,1
8,82,81,42,-1
1,82,60,80,1
5,91,92,38,1
2,30,65,99,1
1,32,41,77,-1
8,39,66,44,1
7,64,83,76,1
8,97,52,52,-1
8,64,51,55,1
6,68,41,78,1
4,39,74,71,1
3,54,95,45,1
2,59,68,42,1
6,68,76,51,1
2,36,69,67,1
5,94,47,52,1
7,55,99,30,1
7,78,97,36,-1
6,73,75,85,1
3,57,98,75,1
6,83,36,95,1
3,76,51,79,1
4,44,67,31,1
5,98,90,89,1
2,88,75,70,1
1,68,93,49,1
1,70,58,37,-1
1,45,98,55,1
6,81,36,96,1
6,65,35,51,1
3,79,69,51,1
1,71,56,66,-1
2,90,68,43,1
7,65,59,52,1
8,59,48,35,1
6,40,32,50,1
6,57,49,96,1
7,57,67,43,1
6,65,48,89,1
5,94,68,97,1
8,61,51,51,1
6,82,40,61,1
3,43,51,36,1
7,57,53,49,1
5,99,35,73,1
1,50,34,62,-1
2,71,80,96,1
6,98,78,42,1
6,48,49,64,1
4,91,58,59,1
4,78,97,93,1
8,74,60,77,-1
7,44,75,45,1
7,76,94,46,-1
8,60,66,52,1
4,31,85,64,1
1,48,45,62,-1
1,54,66,64,-1
7,53,87,81,1
5,83,70,63,1
1,33,36,79,-1
1,84,35,94,1
4,91,77,35,1
2,55,90,78,1
5,37,69,31,1
4,83,99,74,1
5,86,60,58,1
1,74,41,48,-1
6,90,45,52,1
1,90,96,64,1
3,71,32,63,1
7,47,76,41,1
7,52,35,34,1
7,77,77,64,-1
1,89,36,36,-1
6,90,30,55,1
3,45,48,85,1
7,84,81,49,-1
2,72,79,68,1
5,86,97,78,1
2,47,97,56,1
1,96,30,45,-1
1,43,62,46,-1
8,85,57,53,-1
6,72,83,30,1
7,54,35,30,1
2,54,55,64,1
7,42,79,89,1
1,33,88,41,-1
6,89,77,44,1
7,88,73,66,-1
1,83,94,62,1
8,56,48,39,1
6,41,44,88,1
6,74,45,83,1
4,84,47,33,1
6,32,77,43,1
7,53,66,73,1
8,74,68,60,-1
2,77,90,39,1
1,85,95,46,1
1,44,80,53,-1
6,66,60,63,1
1,42,85,74,1
7,34,71,43,1
3,61,69,41,1
1,34,77,55,-1
5,66,86,57,1
6,63,62,85,1
8,83,32,65,1
3,84,90,35,1
2,36,88,37,1
8,75,83,49,-1
1,81,39,35,-1
2,96,93,73,1
7,57,82,64,1
2,71,45,85,1
7,35,49,45,1
7,38,41,95,1
4,52,67,30,1
4,80,53,37,1
3,91,54,30,1
8,67,34,84,1
6,69,49,95,1
2,82,94,84,1
7,44,82,90,1
8,41,57,69,1
6,99,54,67,1
4,81,62,50,1
1,94,83,40,1
8,35,59,39,1
6,56,93,82,1
2,88,30,61,1
5,86,35,88,1
8,55,62,51,1
5,88,38,35,1
3,93,64,76,1
6,77,89,95,-1
4,56,36,36,1
6,52,45,37,1
1,56,55,50,-1
1,93,47,41,-1
2,61,70,77,1
4,85,45,62,1
2,50,88,39,1
2,97,97,78,1
8,56,85,52,-1
5,55,74,83,1
1,55,60,97,1
1,38,63,51,-1
7,54,70,87,1
4,84,79,77,1
6,94,91,56,-1
5,83,60,58,1
1,51,36,53,-1
8,52,50,64,1
4,38,97,31,1
5,88,61,90,1
5,60,88,70,1
1,34,47,96,-1
5,51,83,51,1
4,31,68,83,1
6,89,90,77,-1
6,50,49,53,1
2,72,87,84,1
8,41,63,83,1
3,68,42,46,1
4,81,90,65,1
8,52,40,73,1
8,32,77,93,1
1,44,68,39,-1
7,60,73,75,1
6,48,53,73,1
8,58,42,55,1
3,30,49,83,1
1,88,78,53,1
3,57,98,33,1
5,35,88,52,1
5,63,41,78,1
3,78,50,61,1
3,58,75,68,1
4,87,79,47,1
3,44,56,42,1
4,61,30,84,1
6,86,72,32,1
7,37,70,89,1
1,31,73,61,-1
7,75,59,67,1
7,53,61,98,1
8,51,52,47,1
4,69,61,70,1
3,47,72,81,1
7,70,31,74,1
1,65,39,45,-1
1,50,33,65,-1
2,56,94,78,1
2,36,78,56,1
4,89,62,45,1
5,89,31,41,1
5,84,93,80,1
6,32,98,50,1
1,42,58,46,-1
6,67,96,35,1
2,75,67,96,1
6,49,61,78,1
1,91,56,55,1
5,49,62,44,1
6,52,94,66,1
1,37,31,83,-1
5,68,87,98,1
6,58,56,94,1
7,30,95,35,1
5,77,85,34,1
6,59,80,58,1
8,93,93,40,-1
4,43,83,99,1
4,99,38,43,1
1,61,75,50,-1
6,49,98,90,1
3,96,73,35,1
1,86,45,93,1
8,60,83,37,-1
6,38,70,94,1
4,60,73,62,1
1,84,69,49,1
8,71,58,67,-1
4,52,82,64,1
6,40,40,52,1
8,77,41,97,-1
3,78,63,68,1
3,93,53,49,1
5,33,40,42,1
3,73,85,38,1
6,69,45,41,1
8,70,95,30,-1
6,51,94,69,1
8,33,83,36,1
5,40,82,35,1
4,91,43,69,1
7,53,51,90,1
2,89,78,56,1
6,76,58,82,1
8,85,70,52,-1
5,48,39,99,1
4,81,97,99,1
8,81,79,51,-1
1,82,75,48,1
2,37,94,52,1
8,39,79,41,1
5,54,33,44,1
8,51,47,53,1
8,51,90,38,1
7,37,30,97,1
2,87,97,65,1
6,88,71,74,1
7,47,32,46,1
4,55,83,69,1
8,46,83,48,1
4,72,68,59,1
2,35,56,61,-1
5,59,30,95,1
1,52,70,87,1
6,39,67,52,1
3,53,32,66,1
3,95,68,58,1
5,97,47,38,1
2,84,99,95,1
7,64,54,43,1
5,55,65,86,1
7,63,68,98,1
5,90,69,48,1
7,70,41,35,1
4,88,42,30,1
3,75,67,84,1
8,43,95,44,1
5,75,37,55,1
8,71,82,94,-1
2,50,54,95,1
5,85,97,92,1
2,37,67,37,-1
5,32,70,79,1
5,74,52,34,1
1,93,99,61,1
5,65,48,82,1
2,81,66,64,1
3,30,71,38,1
1,96,89,51,1
1,34,60,72,-1
4,51,39,62,1
4,74,37,77,1
7,62,81,55,1
6,33,67,53,1
4,74,58,77,1
2,81,86,52,1
5,80,43,82,1
1,39,40,95,-1
6,32,39,96,1
2,68,84,44,1
8,71,83,82,-1
8,85,35,44,1
3,93,42,66,1
1,44,98,61,1
4,48,91,66,1
3,60,67,91,1
2,59,31,93,-1
7,37,32,97,1
6,45,30,69,1
8,53,58,72,1
1,59,82,67,1
1,84,51,78,1
7,74,59,87,1
2,48,98,68,1
7,36,93,39,1
1,83,70,52,1
6,81,46,35,1
6,53,68,40,1
4,86,72,33,1
7,55,41,36,1
4,68,63,35,1
8,50,84,66,-1
3,55,70,76,1
3,97,37,41,1
8,99,47,54,-1
8,94,71,71,-1
6,93,92,80,-1
6,60,80,97,1
3,58,47,83,1
4,75,32,56,1
2,78,74,96,1
2,86,40,36,1
4,87,58,52,1
1,39,74,34,-1
7,82,32,66,1
7,72,53,30,1
3,90,65,70,1
1,74,39,77,-1
4,51,70,78,1
7,87,77,91,-1
3,67,74,66,1
6,77,32,47,1
8,32,32,51,1
2,54,74,90,1
1,34,88,94,1
5,95,64,88,1
1,82,60,86,1
7,50,64,35,1
4,34,83,86,1
5,36,64,90,1
1,37,47,79,-1
3,87,67,69,1
4,56,77,30,1
5,85,46,41,1
1,73,70,30,-1
6,38,94,35,1
4,96,87,98,1
1,30,39,69,-1
4,87,86,53,1
3,54,80,37,1
3,44,88,53,1
6,85,43,56,1
1,77,63,69,1
7,46,46,34,1
6,65,42,59,1
3,51,54,33,1
3,67,73,70,1
1,89,88,66,1
3,77,53,82,1
3,35,99,64,1
5,68,86,72,1
2,36,92,98,1
7,39,96,44,1
3,57,79,43,1
7,69,41,81,1
3,49,94,53,1
2,56,37,30,-1
5,50,81,47,1
5,75,86,58,1
1,74,43,63,-1
6,30,50,36,1
7,42,58,65,1
6,38,76,89,1
2,44,41,79,-1
3,74,82,92,1
8,94,74,99,-1
2,43,30,91,-1
6,50,91,99,1
3,64,80,58,1
2,78,84,65,1
3,96,74,46,1
8,38,62,70,1
4,36,98,53,1
3,54,78,60,1
7,35,81,97,1
6,62,64,37,1
7,43,70,96,1
6,79,44,42,1
5,89,98,75,1
5,50,46,74,1
3,35,91,36,1
6,67,63,56,1
2,36,35,99,-1
7,90,78,64,-1
3,80,81,96,1
2,83,86,48,1
7,39,60,83,1
5,71,69,45,1
1,41,54,98,-1
6,85,48,74,1
5,99,99,62,1
5,43,64,94,1
8,55,39,54,1
2,77,53,53,1
8,98,94,70,-1
3,73,68,82,1
4,89,50,81,1
8,32,91,96,-1
5,34,85,37,1
8,63,43,76,1
8,89,62,96,-1
4,75,63,84,1
1,37,95,73,1
1,70,53,93,1
6,34,46,89,1
3,45,88,78,1
7,37,50,89,1
7,83,88,81,-1
2,44,64,81,1
4,43,35,92,1
8,73,58,81,-1
1,53,38,53,-1
4,62,77,37,1
8,95,89,97,-1
8,46,49,63,1
1,73,89,59,1
2,36,90,52,1
7,33,94,63,1
7,72,98,38,-1
3,61,73,54,1
5,97,93,66,1
8,38,97,95,-1
4,65,64,30,1
8,51,73,79,-1
1,68,55,88,1
8,48,37,32,1
8,65,43,94,1
2,66,93,35,1
3,43,69,71,1
7,44,67,47,1
2,36,65,42,-1
5,96,49,50,1
2,91,64,82,1
7,46,72,79,1
4,40,94,38,1
3,54,56,60,1
4,65,69,90,1
1,84,46,80,1
3,55,52,50,1
2,85,83,49,1
7,48,85,58,1
1,70,67,70,1
1,88,96,83,1
6,72,75,42,1
7,60,59,30,1
2,57,91,60,1
5,78,34,49,1
4,56,97,62,1
1,82,99,34,1
8,38,69,67,1
2,40,38,57,-1
7,40,42,81,1
7,71,99,48,-1
6,79,32,58,1
1,57,54,41,-1
2,98,83,39,1
7,48,84,97,1
2,35,79,97,1
4,40,71,83,1
3,36,99,36,1
6,91,81,38,1
2,47,80,97,1
1,40,97,76,1
7,45,35,77,1
2,93,72,63,1
