learning_time,midterm_grade,attendance_rate,homework_completion,pass_fail
8,43,94,45,1
1,80,75,97,-1
1,76,76,60,-1
3,94,90,58,1
6,55,91,32,1
1,96,39,40,-1
3,81,92,80,1
1,79,72,84,-1
6,76,78,45,1
8,93,50,60,1
3,52,45,56,-1
6,59,99,57,1
7,81,69,59,1
2,35,67,51,-1
2,81,42,58,-1
7,50,41,76,1
5,66,61,89,1
3,97,87,84,1
6,35,64,97,1
2,66,70,70,-1
8,47,79,74,1
2,60,87,89,-1
5,84,36,85,1
8,49,86,71,1
4,79,48,50,-1
1,40,52,34,-1
5,64,58,32,-1
2,64,45,70,-1
5,46,89,89,1
7,86,53,66,1
2,57,56,35,-1
8,76,92,49,1
7,54,57,84,1
3,32,38,59,-1
7,61,35,76,1
3,95,65,92,1
3,80,95,85,1
6,81,55,48,1
6,65,76,40,1
4,55,84,90,1
5,57,48,67,-1
2,96,93,65,-1
1,60,57,91,-1
3,61,32,45,-1
4,62,54,71,-1
6,85,86,38,1
8,71,48,85,1
5,81,82,99,1
5,34,79,66,-1
5,87,99,65,1
4,36,55,33,-1
7,43,49,35,1
8,77,61,54,1
1,30,67,54,-1
3,74,64,53,-1
4,98,34,42,-1
2,38,64,91,-1
2,41,68,71,-1
3,75,58,49,-1
3,73,69,96,-1
2,68,31,52,-1
1,50,95,53,-1
1,34,67,35,-1
2,95,81,87,-1
4,81,79,83,1
6,60,79,71,1
3,58,56,60,-1
4,74,72,38,-1
4,78,72,83,1
4,76,88,81,1
7,62,50,54,1
3,47,77,38,-1
4,65,61,64,-1
2,80,58,66,-1
7,91,89,65,1
1,50,88,80,-1
3,90,97,67,1
1,89,94,71,-1
4,36,71,78,-1
8,98,85,30,1
2,59,60,62,-1
5,94,31,55,1
5,46,65,38,-1
8,39,40,84,1
4,48,47,53,-1
6,94,43,37,1
3,33,53,32,-1
6,90,45,75,1
6,97,74,67,1
7,61,54,75,1
3,88,37,36,-1
1,40,31,31,-1
5,63,96,72,1
4,49,98,55,1
5,66,65,91,1
6,71,66,37,1
5,65,73,56,1
3,89,30,58,-1
6,97,56,58,1
6,40,59,94,1
6,91,74,83,1
2,67,62,78,-1
7,96,93,33,1
4,53,77,96,1
2,50,46,74,-1
3,77,48,38,-1
7,53,58,48,1
5,69,89,57,1
1,73,63,78,-1
6,46,34,83,-1
4,97,71,91,1
2,71,35,47,-1
1,77,91,67,-1
5,87,50,86,1
2,65,81,87,-1
8,58,51,62,1
6,44,90,70,1
1,88,86,81,-1
4,56,97,94,1
6,45,95,99,1
1,62,75,36,-1
2,50,59,90,-1
7,78,98,68,1
6,47,46,85,1
4,90,91,93,1
8,41,78,59,1
4,82,39,60,-1
2,84,74,77,-1
2,70,53,83,-1
1,48,73,88,-1
4,63,36,42,-1
6,89,68,38,1
3,57,36,54,-1
1,68,47,99,-1
4,65,37,31,-1
2,84,70,87,-1
4,40,34,93,-1
3,94,45,99,-1
8,38,81,55,1
1,96,91,87,-1
7,54,74,37,1
2,65,87,56,-1
6,98,57,33,1
4,60,57,66,-1
5,87,81,45,1
7,37,49,87,1
4,70,77,75,1
4,87,98,77,1
8,30,87,77,1
3,72,98,57,1
4,75,78,66,1
1,62,45,39,-1
3,81,33,86,-1
5,51,82,60,1
4,36,79,90,-1
2,39,97,63,-1
1,31,88,97,-1
1,48,67,52,-1
4,66,47,78,-1
2,69,97,56,-1
2,56,51,99,-1
8,76,55,61,1
7,87,77,49,1
1,46,38,65,-1
1,31,45,36,-1
8,93,57,53,1
2,34,56,62,-1
5,72,67,57,1
5,71,43,32,-1
5,37,92,49,1
4,70,57,47,-1
4,73,91,74,1
2,44,43,55,-1
4,81,51,66,-1
8,65,75,63,1
2,81,33,67,-1
1,40,76,92,-1
7,42,65,65,1
7,73,89,42,1
6,79,97,44,1
8,57,55,91,1
6,72,89,96,1
1,53,34,96,-1
6,65,98,42,1
1,67,32,96,-1
7,99,44,59,1
3,48,82,94,-1
3,72,34,49,-1
4,97,54,45,-1
6,65,58,37,1
5,90,32,79,1
3,87,93,90,1
7,40,48,75,1
1,93,46,74,-1
2,89,59,97,-1
5,30,76,37,-1
3,89,88,94,1
1,64,99,54,-1
3,96,67,40,-1
5,93,63,99,1
6,79,86,53,1
3,81,30,95,-1
5,84,75,62,1
2,49,43,48,-1
3,58,32,71,-1
5,33,44,84,-1
3,98,88,52,1
1,58,72,41,-1
3,90,42,48,-1
4,50,93,86,1
2,37,39,35,-1
1,82,84,82,-1
2,87,76,60,-1
2,93,58,66,-1
1,93,88,66,-1
1,49,75,48,-1
3,94,97,72,1
2,71,61,58,-1
8,73,92,36,1
1,83,91,89,-1
1,41,67,57,-1
7,52,45,43,1
2,50,57,79,-1
4,55,76,70,-1
1,47,75,90,-1
4,33,90,75,-1
3,97,77,46,-1
7,56,94,84,1
6,43,31,99,-1
6,78,95,88,1
8,89,95,56,1
7,93,62,52,1
4,73,59,80,-1
2,53,78,43,-1
8,46,85,67,1
8,60,38,65,1
2,54,77,63,-1
8,73,30,34,1
3,76,33,83,-1
1,45,88,68,-1
6,75,82,76,1
8,98,56,99,1
7,46,91,99,1
2,95,78,42,-1
6,35,83,95,1
6,84,64,97,1
6,95,94,35,1
2,74,76,92,-1
7,46,85,95,1
3,31,84,67,-1
5,34,88,35,-1
5,60,99,41,1
4,98,49,61,1
8,52,74,40,1
5,30,92,58,1
3,39,85,52,-1
4,54,83,37,-1
4,58,96,38,-1
7,67,49,35,1
7,32,45,32,-1
3,84,69,73,-1
5,31,61,63,-1
2,89,97,52,-1
7,51,38,86,1
2,33,80,46,-1
7,84,93,68,1
6,43,95,46,1
8,75,33,57,1
3,86,36,69,-1
3,89,48,82,-1
3,88,78,59,-1
1,66,81,67,-1
6,88,67,31,1
4,89,32,30,-1
4,80,50,52,-1
3,51,39,88,-1
2,71,75,68,-1
6,76,73,75,1
6,40,30,43,-1
1,72,76,55,-1
6,60,70,56,1
6,94,56,53,1
2,40,90,39,-1
3,79,90,86,1
1,34,76,53,-1
7,38,36,44,-1
3,49,40,35,-1
2,58,45,55,-1
5,40,48,45,-1
4,70,41,62,-1
4,44,43,99,-1
8,81,67,68,1
3,89,93,45,1
8,33,96,32,1
6,73,39,54,1
1,73,76,51,-1
6,45,48,59,-1
2,53,63,40,-1
7,49,82,70,1
5,37,74,37,-1
1,46,87,97,-1
3,50,58,72,-1
1,67,53,45,-1
3,80,61,88,-1
2,92,58,53,-1
5,86,40,36,-1
6,56,36,86,1
2,56,41,78,-1
3,76,96,92,1
7,35,55,54,1
3,91,38,45,-1
5,44,63,69,-1
1,94,89,67,-1
7,98,80,34,1
7,34,38,79,1
7,42,69,92,1
2,37,51,57,-1
2,83,40,59,-1
7,72,67,37,1
7,91,62,45,1
5,89,99,35,1
4,88,90,96,1
7,90,76,57,1
8,93,82,52,1
6,71,73,95,1
3,69,76,44,-1
4,71,30,73,-1
6,39,76,79,1
3,74,93,69,1
5,55,75,73,1
4,37,74,70,-1
5,74,75,80,1
8,89,85,67,1
8,40,77,88,1
8,44,68,99,1
1,91,41,66,-1
7,70,85,53,1
2,83,88,89,-1
7,57,85,61,1
6,65,42,64,1
6,33,86,34,1
7,62,36,78,1
5,70,30,47,-1
7,81,97,82,1
1,45,45,71,-1
4,33,35,87,-1
1,66,93,93,-1
4,50,38,71,-1
5,64,92,57,1
8,42,75,40,1
7,60,90,68,1
7,33,36,63,1
3,57,85,38,-1
6,93,44,99,1
7,75,35,65,1
2,35,51,79,-1
3,35,80,89,-1
1,62,33,95,-1
6,62,91,98,1
8,92,71,83,1
7,95,94,86,1
8,32,44,53,1
1,34,43,80,-1
7,45,51,97,1
5,92,47,41,1
3,94,85,98,1
8,51,76,31,1
3,44,48,97,-1
4,33,94,55,-1
6,90,82,65,1
7,73,94,58,1
7,56,66,46,1
1,43,89,45,-1
1,87,38,36,-1
1,58,31,57,-1
8,66,88,84,1
7,70,34,59,1
7,54,32,46,1
7,77,88,58,1
5,83,69,87,1
4,76,46,96,-1
6,42,81,69,1
8,96,82,30,1
2,93,64,82,-1
3,47,74,35,-1
3,39,64,49,-1
7,39,92,96,1
5,72,33,58,-1
2,31,42,34,-1
6,72,88,87,1
4,77,84,63,1
8,91,71,64,1
8,54,77,54,1
1,96,80,98,-1
8,44,36,30,1
7,57,64,97,1
2,96,49,84,-1
3,55,38,70,-1
2,82,98,99,1
5,40,90,64,1
7,52,94,91,1
7,49,52,31,1
1,30,31,33,-1
1,53,64,36,-1
7,70,66,68,1
7,42,66,71,1
1,91,84,92,-1
8,74,81,65,1
3,37,37,91,-1
5,33,86,75,1
2,55,38,32,-1
6,41,98,61,1
3,93,31,36,-1
2,45,81,80,-1
2,76,36,69,-1
2,94,52,39,-1
1,94,60,77,-1
5,98,42,62,1
4,73,50,45,-1
3,87,76,36,-1
7,67,90,97,1
8,72,61,46,1
5,41,30,50,-1
6,65,73,90,1
2,91,49,43,-1
8,60,53,60,1
1,84,77,99,-1
4,39,97,30,-1
6,94,76,76,1
5,91,60,45,1
3,82,56,34,-1
7,39,40,38,-1
6,67,54,84,1
1,78,84,45,-1
7,55,66,58,1
6,33,40,64,-1
6,67,68,82,1
8,89,37,78,1
2,62,52,75,-1
6,60,41,44,-1
8,83,84,67,1
3,84,39,95,-1
5,61,86,57,1
4,89,69,32,1
6,36,85,73,1
4,38,39,90,-1
2,77,33,44,-1
4,64,75,83,1
4,72,53,76,-1
3,43,75,51,-1
1,32,42,47,-1
6,65,44,49,1
2,35,86,79,-1
4,96,66,34,1
8,76,78,31,1
1,73,46,59,-1
6,53,86,96,1
6,84,76,75,1
7,69,81,90,1
2,65,84,35,-1
6,56,55,65,1
6,51,38,59,-1
1,74,83,57,-1
1,98,30,61,-1
7,46,35,45,1
1,33,91,84,-1
5,80,98,52,1
7,89,77,76,1
7,85,76,32,1
4,80,69,49,-1
2,65,64,66,-1
7,59,38,80,1
1,72,51,79,-1
8,45,37,35,1
1,49,78,76,-1
7,43,70,68,1
5,58,33,49,-1
2,44,58,38,-1
6,31,76,42,1
7,74,81,54,1
6,60,98,64,1
1,69,82,76,-1
4,31,31,74,-1
2,66,34,37,-1
6,87,53,48,1
7,85,96,39,1
4,84,65,87,1
3,42,56,35,-1
6,96,49,64,1
3,68,70,34,-1
1,83,83,73,-1
7,44,35,36,-1
7,88,58,64,1
7,37,73,31,1
7,93,67,55,1
7,36,40,65,1
4,88,78,64,1
3,66,42,40,-1
3,36,99,58,-1
5,39,69,64,-1
6,59,86,43,1
3,87,71,85,1
4,74,36,52,-1
2,50,83,46,-1
2,33,83,42,-1
4,56,49,93,-1
6,50,62,55,1
4,94,64,88,1
5,33,33,98,-1
1,53,84,79,-1
4,80,72,31,-1
4,32,48,76,-1
2,40,87,35,-1
4,72,80,66,1
2,35,54,63,-1
8,79,42,67,1
1,43,39,53,-1
7,43,34,43,-1
2,67,82,90,-1
8,80,38,95,1
5,57,57,95,1
4,39,91,78,-1
1,83,93,65,-1
8,44,71,63,1
5,93,71,61,1
1,40,91,59,-1
1,70,43,45,-1
4,38,94,88,1
5,58,88,46,1
3,79,77,62,-1
1,75,82,90,-1
7,67,46,45,1
4,42,79,94,-1
5,79,85,56,1
6,32,51,73,-1
2,66,37,52,-1
7,38,81,32,1
5,93,73,77,1
1,45,68,45,-1
8,50,67,58,1
8,37,66,42,1
8,35,35,80,1
4,76,74,78,1
1,44,31,99,-1
1,60,33,58,-1
6,93,79,83,1
3,88,94,78,1
4,53,86,99,1
4,66,68,69,-1
7,87,41,73,1
3,42,88,64,-1
4,61,33,37,-1
8,95,81,94,1
3,74,77,82,-1
4,66,88,98,1
3,84,77,69,-1
1,92,80,81,-1
6,59,59,44,1
1,46,62,79,-1
4,41,98,70,1
7,37,71,84,1
3,38,60,86,-1
7,42,48,69,1
8,43,84,89,1
5,97,94,68,1
3,61,66,39,-1
2,73,62,37,-1
1,54,76,32,-1
7,31,44,81,1
4,57,32,57,-1
4,98,46,71,1
3,36,76,31,-1
2,66,62,41,-1
5,84,81,81,1
5,54,54,84,1
7,88,81,83,1
2,93,88,45,-1
8,79,94,53,1
6,30,77,30,-1
4,83,35,94,-1
6,39,91,56,1
5,63,47,92,1
1,36,94,91,-1
6,99,97,51,1
4,90,45,51,-1
4,81,98,76,1
3,68,80,60,-1
5,61,53,69,-1
1,93,77,57,-1
5,71,35,95,1
1,35,52,63,-1
5,36,44,37,-1
6,74,44,49,1
1,68,93,66,-1
3,71,70,86,-1
5,87,34,81,1
1,40,92,76,-1
1,85,74,50,-1
2,68,40,36,-1
6,37,72,70,1
2,77,67,98,-1
4,73,80,80,1
2,30,86,62,-1
7,61,53,53,1
2,40,55,35,-1
5,84,39,33,-1
4,38,97,69,-1
7,70,60,68,1
6,60,85,71,1
2,34,36,96,-1
2,50,48,33,-1
2,84,41,48,-1
5,81,69,78,1
8,93,41,39,1
4,52,39,51,-1
4,45,69,41,-1
6,67,32,33,-1
3,62,85,77,-1
6,60,59,77,1
1,69,65,75,-1
2,93,72,68,-1
7,42,83,61,1
5,31,59,83,-1
4,64,96,94,1
7,88,43,34,1
6,59,79,50,1
1,77,32,89,-1
3,71,81,80,-1
2,98,74,94,-1
8,98,69,75,1
4,60,89,38,-1
3,52,59,71,-1
3,85,75,56,-1
7,61,93,32,1
7,88,62,57,1
5,32,33,41,-1
6,94,43,51,1
2,89,59,55,-1
5,95,79,90,1
6,67,34,68,1
2,92,91,66,-1
2,85,56,73,-1
2,78,34,75,-1
2,91,83,68,-1
5,95,95,71,1
7,37,31,58,-1
5,97,77,61,1
1,48,72,33,-1
7,35,56,88,1
7,53,61,80,1
3,49,34,61,-1
2,68,50,95,-1
5,51,71,98,1
4,65,43,92,-1
6,76,37,93,1
6,91,53,55,1
7,82,77,98,1
2,74,57,95,-1
7,95,62,34,1
1,91,49,54,-1
3,84,66,88,-1
8,57,48,35,1
6,30,78,75,1
2,68,98,61,-1
6,75,32,39,1
1,47,32,61,-1
8,47,30,54,1
7,70,77,31,1
3,54,58,99,-1
6,78,59,73,1
6,44,73,77,1
7,77,85,34,1
4,56,53,67,-1
5,96,67,52,1
3,44,78,36,-1
2,61,53,60,-1
4,37,43,77,-1
8,79,33,37,1
1,57,62,67,-1
7,70,52,75,1
6,62,98,84,1
6,59,77,33,1
7,56,44,39,1
6,77,98,37,1
6,78,65,63,1
1,55,90,63,-1
5,55,47,84,-1
2,94,76,99,-1
8,60,95,59,1
4,61,54,84,-1
3,62,30,53,-1
6,38,56,64,1
6,78,95,89,1
4,68,59,92,-1
5,82,84,94,1
2,86,65,68,-1
2,76,58,61,-1
4,54,96,43,-1
4,97,80,93,1
5,43,37,95,-1
3,96,35,95,-1
2,70,42,43,-1
3,89,86,86,1
5,42,51,48,-1
6,62,42,85,1
2,92,92,48,-1
8,97,52,69,1
2,94,92,87,1
5,95,79,41,1
4,55,65,65,-1
8,71,83,84,1
4,32,31,93,-1
3,74,53,30,-1
2,35,89,88,-1
7,74,91,60,1
6,90,44,36,1
4,97,89,43,1
2,48,94,33,-1
8,92,95,69,1
5,77,39,90,1
1,59,45,88,-1
4,44,64,36,-1
7,43,73,82,1
3,33,87,94,-1
1,43,58,44,-1
3,31,66,37,-1
2,35,78,56,-1
4,91,53,92,1
4,46,92,45,-1
6,60,31,78,1
7,31,45,37,-1
4,36,35,92,-1
2,77,34,73,-1
4,40,85,61,-1
2,89,39,82,-1
4,91,96,81,1
5,84,75,43,1
4,54,77,49,-1
6,79,90,81,1
1,70,79,68,-1
1,97,87,68,-1
8,40,32,78,1
6,95,60,36,1
2,63,61,95,-1
6,99,42,38,1
2,70,60,91,-1
4,88,65,95,1
4,95,91,92,1
2,58,59,69,-1
1,84,78,50,-1
1,70,38,46,-1
7,61,87,76,1
1,88,74,52,-1
2,91,93,50,-1
1,71,85,89,-1
5,50,49,48,-1
8,38,85,74,1
3,32,82,47,-1
5,66,87,39,1
4,42,39,73,-1
7,42,34,48,1
8,80,90,79,1
2,63,50,56,-1
8,90,98,57,1
7,82,96,30,1
6,49,92,39,1
2,55,44,51,-1
8,72,94,77,1
3,50,34,76,-1
4,33,48,67,-1
5,88,41,98,1
5,43,73,31,-1
7,60,69,34,1
7,39,62,55,1
1,84,60,66,-1
8,87,75,97,1
1,40,73,85,-1
6,51,48,92,1
4,31,73,74,-1
5,81,84,50,1
4,70,49,74,-1
3,97,46,65,-1
2,89,85,97,-1
1,65,78,87,-1
3,79,44,41,-1
4,38,83,78,-1
7,95,68,49,1
8,49,88,92,1
3,53,66,48,-1
2,46,39,72,-1
7,73,65,79,1
5,69,59,78,1
5,30,45,38,-1
7,33,83,91,1
6,70,69,92,1
4,67,31,54,-1
5,80,97,60,1
8,50,94,81,1
6,93,84,71,1
3,88,81,98,1
8,33,60,44,1
1,82,65,55,-1
4,62,82,86,1
1,56,59,46,-1
4,85,48,88,1
6,49,94,62,1
4,58,72,86,-1
5,50,92,62,1
2,45,94,87,-1
8,81,91,57,1
6,84,41,82,1
7,46,40,65,1
5,72,93,30,1
1,93,51,82,-1
5,89,60,61,1
4,63,83,59,1
2,68,89,83,-1
7,34,75,96,1
3,55,43,41,-1
2,66,81,41,-1
5,46,31,33,-1
7,97,55,52,1
5,41,64,87,-1
5,63,37,42,-1
7,59,40,39,1
8,75,58,37,1
1,54,55,33,-1
5,33,97,49,1
2,70,81,55,-1
4,99,78,31,1
2,94,86,44,-1
3,61,37,59,-1
5,51,83,92,1
3,93,76,75,1
4,61,34,78,-1
6,33,77,85,1
6,80,50,56,1
6,43,58,61,1
2,45,59,45,-1
8,73,58,76,1
1,68,48,86,-1
3,83,68,88,-1
3,86,35,45,-1
8,30,89,91,1
3,78,86,88,1
5,61,76,77,1
4,66,53,54,-1
2,90,45,96,-1
5,67,50,40,-1
4,55,67,93,-1
6,35,56,43,-1
3,60,80,69,-1
2,34,93,47,-1
3,48,67,93,-1
6,50,66,58,1
5,89,50,74,1
4,38,62,40,-1
1,32,54,57,-1
8,85,93,47,1
4,61,59,60,-1
8,42,38,61,1
8,82,71,39,1
1,93,94,33,-1
6,56,90,46,1
2,67,50,69,-1
7,72,78,96,1
5,35,77,74,1
2,74,50,78,-1
2,46,62,60,-1
3,75,83,72,-1
6,85,85,40,1
2,87,34,72,-1
4,62,94,32,-1
4,63,55,64,-1
7,87,50,73,1
8,64,98,65,1
4,79,37,96,-1
5,76,94,85,1
2,57,94,83,-1
6,56,41,74,1
3,39,93,73,-1
2,88,47,47,-1
7,34,77,85,1
7,67,65,70,1
7,62,56,95,1
4,83,47,58,-1
6,58,51,35,1
5,73,35,99,1
8,67,95,52,1
6,53,46,43,-1
8,72,33,58,1
6,46,32,84,-1
4,64,93,43,1
2,49,88,50,-1
8,62,56,66,1
6,71,30,33,-1
8,94,76,40,1
5,88,43,52,1
2,47,32,43,-1
1,98,78,66,-1
5,50,81,70,1
7,56,30,96,1
5,73,63,79,1
3,93,97,59,1
2,58,93,90,-1
1,44,47,38,-1
7,94,39,49,1
4,51,93,41,-1
2,88,49,52,-1
3,85,93,63,1
5,68,77,83,1
5,93,40,76,1
8,78,57,63,1
7,35,94,58,1
5,73,96,96,1
7,58,90,56,1
